608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
2730_235 	ADC8VBKOVOCRR 	The responsibilities of city administration&#44; law and order and the civic services are executed by multiple government organizations.
2730_236 	A2HFASY1SVXPSP 	The areas under these administrative agencies are dependent on each other in many cases.
2730_237 	A2HFASY1SVXPSP 	At least four administrative definitions of the city are available
2730_239 	ADC8VBKOVOCRR 	1. The Kolkata District
2730_240 	ADC8VBKOVOCRR 	2. The Kolkata Police area
2730_241 	ADC8VBKOVOCRR 	3. The Kolkata Municipal Corporation area
2730_242 	ADC8VBKOVOCRR 	4. Greater Kolkata or KMDA area
2730_243 	A16IVTYAYSV3SA 	The local self-government of Calcutta is the Calcutta Municipal Corporation.
2730_245 	A3F9QBUALMKO1 	These councilors elect a council Chairman and an executive Mayor for a five year term.
2730_246 	A2HFASY1SVXPSP 	The Mayor&#44; in turn chooses a Deputy Mayor and not more than 10 elected councillors
2730_247 	A16IVTYAYSV3SA 	This Mayor-in-Council is equivalent to the Cabinet of the ministry in respect of city administration.
2730_248 	A2HFASY1SVXPSP 	In addition&#44; there is a Municipal Accounts Committee to act like a public accounts committee (PAC)&#44;
2730_249 	A3F9QBUALMKO1 	This committee of five or seven Councilors is usually led by the Leader of Opposition.
2730_250 	A2HFASY1SVXPSP 	The main functions of the KMC are water supply&#44; drainage and sewerage&#44; sanitation&#44; solid wastes management&#44; streets and public places&#44; street lighting&#44; and building regulation.
2730_251 	A16IVTYAYSV3SA 	At present&#44; the Corporation is under the CPIM leading Left-fronts parties.
2730_252 	A3F9QBUALMKO1 	The other administrative and defence authorities of Kolkata are&#44;  the Collector of the Kolkata District&#44; the Kolkata Police&#44; the District Magistrate (DM) of South 24 Parganas District&#44; and the (SP) of South 24 Parganas District.
2730_253 	A16IVTYAYSV3SA 	There is also an honorary post of Sheriff in Calcutta which is nothing but a name.
2730_254 	A16IVTYAYSV3SA 	The capital of West Bengal as well as the center of the government of West Bengal is Calcutta.
2730_255 	A3F9QBUALMKO1 	Not only West Bengal Legislative Assembly&#44; state Secretariat&#44; Calcutta High Court but also more than one state and central organisations are situated in Kolkata.
2730_257 	A16IVTYAYSV3SA 	The Calcutta Police under the Commissioner of Police (the chief of the city police) is directly a part of the Department of Home Affairs of the government of West Bengal.
2730_258 	A16IVTYAYSV3SA 	Three members are elected for the Lower House of the Parliament i.e. the Lok Sabha and 29 members are elected for the State Legislative Assembly from Calcutta.
2730_259 	A2JPXAF2MC24F7 	Population Statistics
2730_260 	A3F9QBUALMKO1 	As per 2001 data&#44; population of Kolkatas municipality area is 4&#44;580&#44;544 and population of Kolkata metropolitan area is 13&#44;216&#44;546.
2730_261 	A2JPXAF2MC24F7 	According to an estimate made in 2009&#44; present population of Kolkata Corporation area is 5&#44;080&#44;519.
2730_262 	A16IVTYAYSV3SA 	The sex ratio is 928 female per 1000 male.
2730_263 	A2LG0SJYIUIRNC 	This rate is less than the national rate of male and female because most of the lower cast men come to city for work and they keep their female member of family in village.
2730_264 	A16IVTYAYSV3SA 	The literacy ratio of Calcutta is 81% which is slightly more than the national ratio of 80%.
2730_265 	A28YA9BQFLXOPT 	According to the official records the acquired areas of the Kolkata Porosongostha is at the rate of 4.1 percent; which is the lowest among the most populated cities of India.
2730_266 	A16IVTYAYSV3SA 	Bengalis are the majority community of the population of Calcutta (55%); the Marwaris and the Beharis are the important minority communities living in the city (20%).
2730_267 	A16IVTYAYSV3SA 	Apart from them Calcutta is also the home for other minority communities such as non-residence Chinese&#44; Tamils&#44; Nepalis&#44; Oriyas&#44; Telugus&#44; Assamese&#44; Gujratis&#44; Anglo-Indians&#44; Americans&#44; Tibetans&#44; Marathis&#44; Punjabis&#44; Persians etc.
2730_269 	A16IVTYAYSV3SA 	As per the census report&#44; out of the total population of Calcutta 80% are Hindus&#44; 18% are Muslims&#44; 1% are Christians and 1% are Jain; the rest are Sikhs&#44; Buddhists&#44; Jews and Zoroastrians with a very small in number.
2730_270 	A16IVTYAYSV3SA 	Around 150 thousand people of the city are living in 2011 registered and 3500 unregistered (illegally occupied) slums.
2730_271 	A16IVTYAYSV3SA 	During the year 2004&#44; among the 35 metropolitan cities of India the percentage of registered crimes committed in Calcutta under the jurisdiction of special and local laws is 67.6%.
2730_272 	A16IVTYAYSV3SA 	In 2004 the Calcutta Police has registered 10&#44;757 cases under the Indian Penal Codes; which occupies the tenth position in the country.
2730_273 	A2HFASY1SVXPSP 	In 2006&#44; while the average crime rate in the country was 167.7 per lac&#44; The crime rate in the city was 71 which was the lowest among the indian cities.
2730_274 	A2HFASY1SVXPSP 	Sonagachi of Kolkata is one of the largest red-light district in Asia; where there are 10&#44;000 sex workers.
2730_277 	A2HFASY1SVXPSP 	Bangla Academy Building&#44; Kolkata.
2730_278 	A2HFASY1SVXPSP 	Kolkata has long been known for its literary&#44; artistic and revolutionary heritage.
2730_279 	A2HFASY1SVXPSP 	It was not only the former capital of India but also was the birthplace of modern Indian literary and artistic thought.
2730_280 	A3F9QBUALMKO1 	The interest on new art and literacy can be seen in the people of Kolkata; this tradition to adopt new talent made Kolkata &quot;A very creative powerful city&quot;.
2730_282 	A3F9QBUALMKO1 	Another characteristic of Kolkata is &#39;Para Culture&#39; based on small small areas of the city.
2730_283 	A2HFASY1SVXPSP 	Typically&#44; every para has its own community club with a clubroom and often&#44; a playing field.
2730_284 	A16IVTYAYSV3SA 	Many clubs have their own playgrounds too.
2730_285 	A9H4GEUPLSQ3M 	the local residents of the locality habitually come into this club to gossip&#44;sometimes this gossip develops into a free intellectual discussion.
2730_286 	A16IVTYAYSV3SA 	The writings on the walls has become a tradition in this city; these wall-writings describe from malicious scandals to satirical comics&#44; limerick&#44; cartoon&#44; manifestos and everything.
2730_287 	A9H4GEUPLSQ3M 	Literature and Music
2730_289 	A3F9QBUALMKO1 	Rabindranath Tagore is the first Nobel Prize winner for literacy and the creator of India&#39;s national anthem.
2730_290 	A9H4GEUPLSQ3M 	the birth and death of this pioneer of Bemgali literature took place in Kolkata.
2730_291 	A16IVTYAYSV3SA 	During the the time of the 19th and the 20th centuries the modernization of the Bengali literature was accomplished holding the hands of Calcutta based litterateurs.
2730_292 	A16IVTYAYSV3SA 	The important among them were: Bankim Chandra Chattopadhyay (1838-1894)&#44; Michael Madhusudhan Dutta (1828-1873)&#44; Rabindranath Tagore (1861-1941)&#44; Kazi Nazrul Islam (1898-1976) and Sarat Chandra Chattopadhyay (1876-1938).
2730_293 	A9H4GEUPLSQ3M 	this literary heritage was carried forward by the famous litteratus of the next generation of the city.
2730_295 	A2JPXAF2MC24F7 	The people of Kolkata are sepcially interested in Rabindrasangeet&#44; Indian Classical music and various folk songs of Bengal like &#39;Baul&#39;.
2730_296 	A2LG0SJYIUIRNC 	In year 1990 a new world of Bengali song started.
2730_297 	A2JPXAF2MC24F7 	From the beginning of 1990&#39;s decade a new style in Bengali music started.
2730_298 	AYSXS48SWDOBU 	Some Bands mix Jazz &amp; other Western music&#39;s fusion with Bengali Folk Songs.
2730_299 	A2JPXAF2MC24F7 	However&#44; important ones in this style are life-centric songs of Kabir Suman&#44; Nachiketa&#44; Anjan Dutta and Bengali bands Chandrabindu and Cactus.
2730_300 	AYSXS48SWDOBU 	Drama &amp; Movie.
2730_301 	A2JPXAF2MC24F7 	Kolkata has well established tradition of &#39;Jatra&#39;&#44; drama and group theatre.
2730_302 	A2JPXAF2MC24F7 	Modern era in Bengali dramatic literature was initiated at the end of nineteenth century and at the beginning of twentieth century by Kolkata based actors and playwrights like Michael Madhusudan Dutta(1824-1873)&#44; Dinbandhu Mitra(1830-1873)&#44; Girish Chandra Ghosh(1844-1912)&#44; Dwijendralal Roy(1863-1913)&#44; RAbindranath Thakur(1861-1941) Kshirod Prasad Vidyabonod(1863-1927) etc.
2730_303 	A2LG0SJYIUIRNC 	From the middle of twenty century to the world war in West Bengal Tulshi Lahiri(1897-1959)&#44; Bijon Bhatacharya (1915-1978)&#44; Utpal Dutta(1929-1993)&#44;Shambhu Mitra(1915-1997)&#44; Tripit Mitra(1924-1989) etc dramatis was very famous.
2730_304 	A2JPXAF2MC24F7 	This tradition of Bengali drama is now being continued by Soumitra Chattopadhyay(Born: 1935)&#44; Manoj Mitra (Born: 1938)&#44; Saonli Mitra&#44; Bratya Basu etc.
2730_305 	A16IVTYAYSV3SA 	The government of West Bengal has established the West Bengal Drama Academy in Calcutta for the development of drama research works.
2730_307 	A16IVTYAYSV3SA 	The film studio of the city is located at Taliganj; hence&#44; the Bengali film industry is often called as &quot;Tollywood&quot;.
2730_308 	A16IVTYAYSV3SA 	A number of legendary film makers have built up their professional lives from this city.
2730_309 	A16IVTYAYSV3SA 	The important among them are: Satyajit Ray (1921-1992)&#44; Mrinal Sen (1923)&#44; Ritwik Ghatak (1925-1976) and the modern film makers like Buddhabed Dasgupta (1944)&#44; Aparna Sen (1945)&#44; Goutam Ghosh (1950) and Rituporno Ghosh (1962).
2730_310 	A16IVTYAYSV3SA 	Among the eminent film actors and actresses of Calcutta are: Uttam Kumar (1926-1980)&#44; Soumitra Chattopadhyay ((1935)&#44; Suchitra Sen (1929)&#44; Bhanu Bandyopadhyay (1920-1983)&#44; Aparna Sen (1945)&#44; Prasenjit Chattopadhyay (1962) etc.
2730_311 	A3F9QBUALMKO1 	Arts and Architecture
2730_314 	A16IVTYAYSV3SA 	Canvas painting of Kalighat is an own-style of painting of Calcutta.
2730_315 	A16IVTYAYSV3SA 	Many a buildings and architectures of Calcutta are decorated with several Indo-Islamic motifs along with Gothic&#44; Barok&#44; Roman&#44; Oriental and Mughal style of architectures.
2730_316 	A3F9QBUALMKO1 	Most of the famous buildings of colonial period are preserved and declared as &#39;Heritage Building&#39;.
2730_317 	A3F9QBUALMKO1 	In other hand most of the buildings are in various stages of decay.
2730_318 	A3F9QBUALMKO1 	The Indian Museum established in 1814&#44; is the oldest museum in Asia and has a huge collection of Indian natural history and Indian art.
2730_319 	A3F9QBUALMKO1 	The major tourist attraction in Kolkata is The Victoria Memorial Hall which has a museum documenting the city&#39;s history.
2730_321 	A3F9QBUALMKO1 	Art exhibitions are regularly held by the Academy of Fine Arts and other art galleries.
2730_324 	A3F9QBUALMKO1 	International Kolkata Book fair is Kolkata&#39;s biggest cultural festival.
2730_325 	A3F9QBUALMKO1 	There are two types of festivals in Kolkata.
2730_326 	A2JPXAF2MC24F7 	Like&#44; religious festivals and non-religious festivals.
2730_327 	A2JPXAF2MC24F7 	The Hindu festivals are observed with greatest pomp and enthusiasm as more than 80 per cent of the population of Kolkata are Hindus.
2730_328 	A3F9QBUALMKO1 	&#39;Durga Puja&#39; is the biggest religious festival of Kolkata.
2730_329 	A3F9QBUALMKO1 	As per Bengali almanac&#44; this puja happens in &#39;Ashwin -Kartik&#39; (October-November as per the English calendar) month of every year.
2730_330 	A16IVTYAYSV3SA 	The Durgapuja festival of Calcutta is also a tourists&#39; attraction.
2730_331 	A28YA9BQFLXOPT 	The other festivals of Hindus are Lakshmi Puja&#44; Kali Puja&#44; Jogodharti Puja&#44; Pous Sankranti&#44; Swaraswati Puja&#44; Shivaratri&#44; Dolyatra&#44; Poyla Boishak&#44; Rathayatra and Biswakarma Puja; and amog the non-bengali Hindus the festivals are Deepawali&#44; Dhanteras and Chot Puja.
2730_332 	A2JPXAF2MC24F7 	Islamic festivals like Id ul Fitr&#44; Id uj Joha&#44; Muharram&#44; Shabebarat etc.; Christian festivals Christmas and Good Friday; Buddhist festival Buddha Purnima; Jain festival Mahabir Jayanti and Sikh festival Guru Nanak Jayanti are also celebrated with enthusiasm.
2730_334 	A2JPXAF2MC24F7 	In addition&#44; festivals like Dover Lane Music Conference&#44; Kolkata Film Festival&#44; Bangla Sangeet Mela&#44; Nandikar&#39;s Jatiyo Natya Mela&#44; different regional and small book fairs etc. are also observed with great enthusiasm.
2730_335 	A16IVTYAYSV3SA 	The Chinese New Year festival at the China Town of Calcutta is also a spectacular one.
2730_336 	A2JPXAF2MC24F7 	Every year in the month of June a pride rally of gay people is held in Kolkata; this rally in Kolkata is the first pride rally in India.
2730_337 	A2JPXAF2MC24F7 	Food habits and Clothes
2730_339 	A3F9QBUALMKO1 	Teenage girl of Kolkata draped in a Sari
2730_340 	A3F9QBUALMKO1 	The main items of Kolkata&#39;s food menu are Rice&#44; Fish Curry and sweets like Rasgoolla&#44; Sondesh and Misti dahi (sweet curd) etc.
2730_341 	A2JPXAF2MC24F7 	Various preparations of different fishes like Hilsha&#44; prawn and Rohu are also quite popular in Kolkata.
2730_342 	A3F9QBUALMKO1 	The street foods like Beguni&#44; Katti Roll&#44; Phuchka etc and Indian Chinese food of East Kolkata&#39;s Chinatown are also very popular.
2730_343 	A2JPXAF2MC24F7 	Though men in Kolkata mostly use western dresses&#44; women are generally inclined towards wearing traditional dresses.
2730_344 	A3F9QBUALMKO1 	Men are accustomed to wearing Shirts&#44; T-shirts&#44; Trousers&#44; Jeans etc.
2730_345 	A2JPXAF2MC24F7 	But during festivals and on occasions it is the tradition to wear Dhuti-Panjabi or pajama-panjabi.
2730_347 	A3F9QBUALMKO1 	Religious Muslim women can be seen wearing Burkha.
2730_348 	A2JPXAF2MC24F7 	However&#44; western dresses are equally popular among the young ladies.
2730_349 	A2JPXAF2MC24F7 	Education System
2730_351 	A16IVTYAYSV3SA 	The National Library of India
